Company,2014,2015,2016,2017,2018
Apple,39.26,40.13,38.52,38.43,38.21
Samsung,35.81,36.3,42.09,45.84,42.6
Huawei,9.6,9.3,7.1,7.6,8.22
LG,16.55,14.62,13.97,18,14.56
