Company,2014,2015,2016,2017,2018
Apple,227.5,220.3,215.6,229.2,265.6
Samsung,191.8,186.6,187.7,222.8,214.8
Huawei,46.55,60.8,75.1,92.55,107
LG,50.98,48.8,47.92,55.4,54.4
